worker_id,date,shift_type
W06,2026-12-07,afternoon
W07,2026-12-07,afternoon
W08,2026-12-07,afternoon
W09,2026-12-07,afternoon
W11,2026-12-07,afternoon
W01,2026-12-07,morning
W04,2026-12-07,morning
W10,2026-12-07,morning
W12,2026-12-07,morning
W02,2026-12-07,night
W13,2026-12-07,night
W01,2026-12-08,afternoon
W03,2026-12-08,afternoon
W06,2026-12-08,afternoon
W07,2026-12-08,afternoon
W11,2026-12-08,afternoon
W04,2026-12-08,morning
W05,2026-12-08,morning
W10,2026-12-08,morning
W12,2026-12-08,morning
W08,2026-12-08,night
W09,2026-12-08,night
W01,2026-12-09,afternoon
W03,2026-12-09,afternoon
W06,2026-12-09,afternoon
W07,2026-12-09,afternoon
W05,2026-12-09,morning
W12,2026-12-09,morning
W04,2026-12-09,night
W11,2026-12-09,night
W01,2026-12-10,afternoon
W03,2026-12-10,afternoon
W06,2026-12-10,afternoon
W07,2026-12-10,afternoon
W12,2026-12-10,afternoon
W05,2026-12-10,morning
W10,2026-12-10,morning
W02,2026-12-10,night
W13,2026-12-10,night
W03,2026-12-11,afternoon
W12,2026-12-11,afternoon
W05,2026-12-11,morning
W08,2026-12-11,morning
W10,2026-12-11,morning
W01,2026-12-11,night
W09,2026-12-11,night
W08,2026-12-12,afternoon
W11,2026-12-12,afternoon
W12,2026-12-12,afternoon
W05,2026-12-12,morning
W10,2026-12-12,morning
W04,2026-12-12,night
W06,2026-12-12,night
W03,2026-12-13,afternoon
W07,2026-12-13,afternoon
W08,2026-12-13,afternoon
W11,2026-12-13,afternoon
W05,2026-12-13,morning
W10,2026-12-13,morning
W02,2026-12-13,night
W13,2026-12-13,night
W03,2026-12-14,afternoon
W07,2026-12-14,afternoon
W09,2026-12-14,afternoon
W01,2026-12-14,morning
W05,2026-12-14,morning
W10,2026-12-14,morning
W08,2026-12-14,night
W11,2026-12-14,night
W03,2026-12-15,afternoon
W07,2026-12-15,afternoon
W09,2026-12-15,afternoon
W12,2026-12-15,afternoon
W04,2026-12-15,morning
W05,2026-12-15,morning
W10,2026-12-15,morning
W01,2026-12-15,night
W06,2026-12-15,night
W09,2026-12-16,afternoon
W12,2026-12-16,afternoon
W02,2026-12-16,morning
W04,2026-12-16,morning
W07,2026-12-16,night
W13,2026-12-16,night
W02,2026-12-17,afternoon
W03,2026-12-17,afternoon
W04,2026-12-17,afternoon
W09,2026-12-17,afternoon
W12,2026-12-17,afternoon
W05,2026-12-17,morning
W10,2026-12-17,morning
W08,2026-12-17,night
W11,2026-12-17,night
W02,2026-12-18,afternoon
W04,2026-12-18,afternoon
W12,2026-12-18,afternoon
W01,2026-12-18,morning
W05,2026-12-18,morning
W10,2026-12-18,morning
W06,2026-12-18,night
W09,2026-12-18,night
W03,2026-12-19,afternoon
W13,2026-12-19,afternoon
W01,2026-12-19,morning
W05,2026-12-19,morning
W10,2026-12-19,morning
W02,2026-12-19,night
W04,2026-12-19,night
W03,2026-12-20,afternoon
W07,2026-12-20,afternoon
W11,2026-12-20,afternoon
W01,2026-12-20,morning
W10,2026-12-20,morning
W12,2026-12-20,morning
W08,2026-12-20,night
W13,2026-12-20,night
W03,2026-12-21,afternoon
W06,2026-12-21,afternoon
W07,2026-12-21,afternoon
W05,2026-12-21,morning
W09,2026-12-21,morning
W10,2026-12-21,morning
W12,2026-12-21,morning
W01,2026-12-21,night
W11,2026-12-21,night
W02,2026-12-22,afternoon
W03,2026-12-22,afternoon
W06,2026-12-22,afternoon
W07,2026-12-22,afternoon
W05,2026-12-22,morning
W09,2026-12-22,morning
W12,2026-12-22,morning
W04,2026-12-22,night
W10,2026-12-22,night
W02,2026-12-23,afternoon
W07,2026-12-23,afternoon
W08,2026-12-23,afternoon
W05,2026-12-23,morning
W09,2026-12-23,morning
W06,2026-12-23,night
W13,2026-12-23,night
W02,2026-12-24,afternoon
W03,2026-12-24,afternoon
W08,2026-12-24,afternoon
W05,2026-12-24,morning
W09,2026-12-24,morning
W11,2026-12-24,morning
W12,2026-12-24,morning
W01,2026-12-24,night
W07,2026-12-24,night
W02,2026-12-25,afternoon
W03,2026-12-25,afternoon
W08,2026-12-25,afternoon
W04,2026-12-25,morning
W05,2026-12-25,morning
W11,2026-12-25,morning
W12,2026-12-25,morning
W09,2026-12-25,night
W10,2026-12-25,night
W03,2026-12-26,afternoon
W06,2026-12-26,afternoon
W08,2026-12-26,afternoon
W13,2026-12-26,afternoon
W04,2026-12-26,morning
W05,2026-12-26,morning
W12,2026-12-26,morning
W02,2026-12-26,night
W11,2026-12-26,night
W03,2026-12-27,afternoon
W06,2026-12-27,afternoon
W08,2026-12-27,afternoon
W13,2026-12-27,afternoon
W07,2026-12-27,morning
W12,2026-12-27,morning
W01,2026-12-27,night
W04,2026-12-27,night
W03,2026-12-28,afternoon
W06,2026-12-28,afternoon
W12,2026-12-28,afternoon
W13,2026-12-28,afternoon
W05,2026-12-28,morning
W07,2026-12-28,morning
W09,2026-12-28,morning
W08,2026-12-28,night
W10,2026-12-28,night
W03,2026-12-29,afternoon
W06,2026-12-29,afternoon
W12,2026-12-29,afternoon
W13,2026-12-29,afternoon
W02,2026-12-29,morning
W05,2026-12-29,morning
W07,2026-12-29,morning
W09,2026-12-29,night
W11,2026-12-29,night
W01,2026-12-30,afternoon
W02,2026-12-30,afternoon
W03,2026-12-30,afternoon
W06,2026-12-30,afternoon
W12,2026-12-30,afternoon
W05,2026-12-30,morning
W07,2026-12-30,morning
W04,2026-12-30,night
W13,2026-12-30,night
W02,2026-12-31,afternoon
W03,2026-12-31,afternoon
W06,2026-12-31,afternoon
W08,2026-12-31,morning
W10,2026-12-31,morning
W01,2026-12-31,night
W07,2026-12-31,night
W02,2027-01-01,afternoon
W03,2027-01-01,afternoon
W08,2027-01-01,afternoon
W05,2027-01-01,morning
W10,2027-01-01,morning
W11,2027-01-01,morning
W12,2027-01-01,morning
W06,2027-01-01,night
W09,2027-01-01,night
W03,2027-01-02,afternoon
W08,2027-01-02,afternoon
W13,2027-01-02,afternoon
W04,2027-01-02,morning
W05,2027-01-02,morning
W10,2027-01-02,morning
W12,2027-01-02,morning
W02,2027-01-02,night
W11,2027-01-02,night
W08,2027-01-03,afternoon
W13,2027-01-03,afternoon
W07,2027-01-03,morning
W10,2027-01-03,morning
W12,2027-01-03,morning
W01,2027-01-03,night
W04,2027-01-03,night
W03,2027-01-04,afternoon
W06,2027-01-04,afternoon
W12,2027-01-04,afternoon
W13,2027-01-04,afternoon
W05,2027-01-04,morning
W07,2027-01-04,morning
W09,2027-01-04,morning
W08,2027-01-04,night
W10,2027-01-04,night
W03,2027-01-05,afternoon
W06,2027-01-05,afternoon
W11,2027-01-05,afternoon
W12,2027-01-05,afternoon
W13,2027-01-05,afternoon
W05,2027-01-05,morning
W07,2027-01-05,morning
W02,2027-01-05,night
W09,2027-01-05,night
W03,2027-01-06,afternoon
W06,2027-01-06,afternoon
W05,2027-01-06,morning
W07,2027-01-06,morning
W01,2027-01-06,night
W04,2027-01-06,night
W11,2027-01-06,night
W13,2027-01-06,night
