worker_id,date,shift_type
W04,2026-12-07,afternoon
W05,2026-12-07,afternoon
W09,2026-12-07,afternoon
W11,2026-12-07,afternoon
W12,2026-12-07,afternoon
W01,2026-12-07,morning
W02,2026-12-07,morning
W03,2026-12-07,morning
W08,2026-12-07,morning
W10,2026-12-07,morning
W13,2026-12-07,morning
W06,2026-12-07,night
W07,2026-12-07,night
W04,2026-12-08,afternoon
W05,2026-12-08,afternoon
W11,2026-12-08,afternoon
W01,2026-12-08,morning
W02,2026-12-08,morning
W08,2026-12-08,morning
W10,2026-12-08,morning
W13,2026-12-08,morning
W03,2026-12-08,night
W09,2026-12-08,night
W12,2026-12-08,night
W04,2026-12-09,afternoon
W11,2026-12-09,afternoon
W02,2026-12-09,morning
W10,2026-12-09,morning
W13,2026-12-09,morning
W01,2026-12-09,night
W08,2026-12-09,night
W04,2026-12-10,afternoon
W11,2026-12-10,afternoon
W02,2026-12-10,morning
W06,2026-12-10,morning
W07,2026-12-10,morning
W10,2026-12-10,night
W13,2026-12-10,night
W05,2026-12-11,afternoon
W06,2026-12-11,afternoon
W03,2026-12-11,morning
W07,2026-12-11,morning
W09,2026-12-11,morning
W12,2026-12-11,morning
W04,2026-12-11,night
W11,2026-12-11,night
W01,2026-12-12,afternoon
W05,2026-12-12,afternoon
W08,2026-12-12,afternoon
W07,2026-12-12,morning
W09,2026-12-12,morning
W12,2026-12-12,morning
W03,2026-12-12,night
W06,2026-12-12,night
W01,2026-12-13,afternoon
W08,2026-12-13,afternoon
W07,2026-12-13,morning
W09,2026-12-13,morning
W10,2026-12-13,morning
W12,2026-12-13,morning
W13,2026-12-13,morning
W02,2026-12-13,night
W05,2026-12-13,night
W01,2026-12-14,afternoon
W08,2026-12-14,afternoon
W09,2026-12-14,morning
W10,2026-12-14,morning
W13,2026-12-14,morning
W04,2026-12-14,night
W07,2026-12-14,night
W01,2026-12-15,afternoon
W03,2026-12-15,afternoon
W06,2026-12-15,morning
W09,2026-12-15,morning
W11,2026-12-15,morning
W12,2026-12-15,morning
W13,2026-12-15,morning
W08,2026-12-15,night
W10,2026-12-15,night
W01,2026-12-16,afternoon
W02,2026-12-16,afternoon
W03,2026-12-16,afternoon
W13,2026-12-16,afternoon
W05,2026-12-16,morning
W11,2026-12-16,morning
W12,2026-12-16,morning
W06,2026-12-16,night
W09,2026-12-16,night
W01,2026-12-17,afternoon
W02,2026-12-17,afternoon
W07,2026-12-17,afternoon
W11,2026-12-17,afternoon
W13,2026-12-17,afternoon
W04,2026-12-17,morning
W05,2026-12-17,morning
W03,2026-12-17,night
W12,2026-12-17,night
W02,2026-12-18,afternoon
W11,2026-12-18,afternoon
W13,2026-12-18,afternoon
W04,2026-12-18,morning
W05,2026-12-18,morning
W08,2026-12-18,morning
W01,2026-12-18,night
W07,2026-12-18,night
W10,2026-12-18,night
W02,2026-12-19,afternoon
W04,2026-12-19,afternoon
W13,2026-12-19,afternoon
W05,2026-12-19,morning
W06,2026-12-19,morning
W08,2026-12-19,morning
W09,2026-12-19,night
W11,2026-12-19,night
W02,2026-12-20,afternoon
W08,2026-12-20,afternoon
W05,2026-12-20,morning
W06,2026-12-20,morning
W03,2026-12-20,night
W12,2026-12-20,night
W02,2026-12-21,afternoon
W04,2026-12-21,afternoon
W08,2026-12-21,afternoon
W05,2026-12-21,morning
W07,2026-12-21,morning
W10,2026-12-21,morning
W13,2026-12-21,morning
W01,2026-12-21,night
W06,2026-12-21,night
W02,2026-12-22,afternoon
W05,2026-12-22,afternoon
W09,2026-12-22,morning
W10,2026-12-22,morning
W11,2026-12-22,morning
W13,2026-12-22,morning
W04,2026-12-22,night
W07,2026-12-22,night
W03,2026-12-23,afternoon
W13,2026-12-23,afternoon
W08,2026-12-23,morning
W10,2026-12-23,morning
W11,2026-12-23,morning
W12,2026-12-23,morning
W05,2026-12-23,night
W09,2026-12-23,night
W02,2026-12-24,afternoon
W03,2026-12-24,afternoon
W06,2026-12-24,morning
W08,2026-12-24,morning
W10,2026-12-24,morning
W11,2026-12-24,morning
W12,2026-12-24,morning
W01,2026-12-24,night
W13,2026-12-24,night
W02,2026-12-25,afternoon
W03,2026-12-25,afternoon
W06,2026-12-25,afternoon
W11,2026-12-25,afternoon
W07,2026-12-25,morning
W08,2026-12-25,morning
W12,2026-12-25,morning
W04,2026-12-25,night
W10,2026-12-25,night
W02,2026-12-26,afternoon
W03,2026-12-26,afternoon
W06,2026-12-26,afternoon
W05,2026-12-26,morning
W07,2026-12-26,morning
W08,2026-12-26,morning
W12,2026-12-26,morning
W09,2026-12-26,night
W11,2026-12-26,night
W02,2026-12-27,afternoon
W03,2026-12-27,afternoon
W06,2026-12-27,afternoon
W05,2026-12-27,morning
W07,2026-12-27,morning
W08,2026-12-27,morning
W13,2026-12-27,morning
W01,2026-12-27,night
W12,2026-12-27,night
W04,2026-12-28,afternoon
W13,2026-12-28,afternoon
W07,2026-12-28,morning
W08,2026-12-28,morning
W10,2026-12-28,morning
W05,2026-12-28,night
W06,2026-12-28,night
W02,2026-12-29,afternoon
W13,2026-12-29,afternoon
W03,2026-12-29,morning
W07,2026-12-29,morning
W09,2026-12-29,morning
W10,2026-12-29,morning
W04,2026-12-29,night
W11,2026-12-29,night
W03,2026-12-30,afternoon
W13,2026-12-30,afternoon
W01,2026-12-30,morning
W07,2026-12-30,morning
W09,2026-12-30,morning
W10,2026-12-30,morning
W08,2026-12-30,night
W12,2026-12-30,night
W01,2026-12-31,afternoon
W03,2026-12-31,afternoon
W02,2026-12-31,morning
W06,2026-12-31,morning
W09,2026-12-31,morning
W10,2026-12-31,morning
W05,2026-12-31,night
W07,2026-12-31,night
W01,2027-01-01,afternoon
W03,2027-01-01,afternoon
W02,2027-01-01,morning
W04,2027-01-01,morning
W09,2027-01-01,morning
