worker_id,date,shift_type
W01,2026-12-07,afternoon
W02,2026-12-07,afternoon
W03,2026-12-07,afternoon
W07,2026-12-07,afternoon
W09,2026-12-07,afternoon
W04,2026-12-07,morning
W05,2026-12-07,morning
W06,2026-12-07,morning
W08,2026-12-07,morning
W11,2026-12-07,morning
W10,2026-12-07,night
W12,2026-12-07,night
W01,2026-12-08,afternoon
W09,2026-12-08,afternoon
W11,2026-12-08,afternoon
W04,2026-12-08,morning
W05,2026-12-08,morning
W06,2026-12-08,morning
W08,2026-12-08,morning
W13,2026-12-08,morning
W02,2026-12-08,night
W07,2026-12-08,night
W08,2026-12-09,afternoon
W09,2026-12-09,afternoon
W11,2026-12-09,afternoon
W03,2026-12-09,morning
W05,2026-12-09,morning
W06,2026-12-09,morning
W13,2026-12-09,morning
W01,2026-12-09,night
W04,2026-12-09,night
W09,2026-12-10,afternoon
W10,2026-12-10,afternoon
W11,2026-12-10,afternoon
W03,2026-12-10,morning
W05,2026-12-10,morning
W06,2026-12-10,morning
W13,2026-12-10,morning
W08,2026-12-10,night
W12,2026-12-10,night
W02,2026-12-11,afternoon
W10,2026-12-11,afternoon
W03,2026-12-11,morning
W13,2026-12-11,morning
W06,2026-12-11,night
W11,2026-12-11,night
W01,2026-12-12,afternoon
W02,2026-12-12,afternoon
W10,2026-12-12,afternoon
W03,2026-12-12,morning
W05,2026-12-12,morning
W07,2026-12-12,morning
W09,2026-12-12,morning
W04,2026-12-12,night
W13,2026-12-12,night
W01,2026-12-13,afternoon
W02,2026-12-13,afternoon
W05,2026-12-13,afternoon
W09,2026-12-13,afternoon
W10,2026-12-13,afternoon
W03,2026-12-13,morning
W08,2026-12-13,morning
W07,2026-12-13,night
W12,2026-12-13,night
W01,2026-12-14,afternoon
W05,2026-12-14,afternoon
W09,2026-12-14,afternoon
W10,2026-12-14,afternoon
W08,2026-12-14,morning
W11,2026-12-14,morning
W02,2026-12-14,night
W03,2026-12-14,night
W01,2026-12-15,afternoon
W06,2026-12-15,afternoon
W09,2026-12-15,afternoon
W10,2026-12-15,afternoon
W11,2026-12-15,morning
W13,2026-12-15,morning
W04,2026-12-15,night
W08,2026-12-15,night
W05,2026-12-16,afternoon
W09,2026-12-16,afternoon
W10,2026-12-16,afternoon
W07,2026-12-16,morning
W11,2026-12-16,morning
W12,2026-12-16,morning
W01,2026-12-16,night
W06,2026-12-16,night
W09,2026-12-17,afternoon
W10,2026-12-17,afternoon
W12,2026-12-17,afternoon
W03,2026-12-17,morning
W07,2026-12-17,morning
W13,2026-12-17,morning
W02,2026-12-17,night
W11,2026-12-17,night
W04,2026-12-18,afternoon
W09,2026-12-18,afternoon
W12,2026-12-18,afternoon
W03,2026-12-18,morning
W05,2026-12-18,morning
W07,2026-12-18,morning
W08,2026-12-18,morning
W10,2026-12-18,night
W13,2026-12-18,night
W05,2026-12-19,afternoon
W07,2026-12-19,afternoon
W09,2026-12-19,afternoon
W12,2026-12-19,afternoon
W03,2026-12-19,morning
W06,2026-12-19,morning
W08,2026-12-19,morning
W01,2026-12-19,night
W04,2026-12-19,night
W02,2026-12-20,afternoon
W05,2026-12-20,afternoon
W12,2026-12-20,afternoon
W03,2026-12-20,morning
W08,2026-12-20,morning
W11,2026-12-20,morning
W06,2026-12-20,night
W07,2026-12-20,night
W05,2026-12-21,afternoon
W09,2026-12-21,afternoon
W03,2026-12-21,morning
W13,2026-12-21,morning
W08,2026-12-21,night
W11,2026-12-21,night
W10,2026-12-22,afternoon
W13,2026-12-22,afternoon
W02,2026-12-22,morning
W04,2026-12-22,morning
W12,2026-12-22,morning
W01,2026-12-22,night
W03,2026-12-22,night
W06,2026-12-23,afternoon
W10,2026-12-23,afternoon
W12,2026-12-23,afternoon
W13,2026-12-23,afternoon
W02,2026-12-23,morning
W05,2026-12-23,morning
W09,2026-12-23,morning
W04,2026-12-23,night
W07,2026-12-23,night
W06,2026-12-24,afternoon
W12,2026-12-24,afternoon
W13,2026-12-24,afternoon
W02,2026-12-24,morning
W09,2026-12-24,morning
W08,2026-12-24,night
W11,2026-12-24,night
W05,2026-12-25,afternoon
W06,2026-12-25,afternoon
W13,2026-12-25,afternoon
W01,2026-12-25,morning
W02,2026-12-25,morning
W10,2026-12-25,morning
W09,2026-12-25,night
W12,2026-12-25,night
W05,2026-12-26,afternoon
W06,2026-12-26,afternoon
W10,2026-12-26,afternoon
W13,2026-12-26,afternoon
W02,2026-12-26,morning
W03,2026-12-26,morning
W07,2026-12-26,morning
W01,2026-12-26,night
W04,2026-12-26,night
W02,2026-12-27,afternoon
W05,2026-12-27,afternoon
W08,2026-12-27,afternoon
W11,2026-12-27,afternoon
W03,2026-12-27,morning
W07,2026-12-27,morning
W06,2026-12-27,night
W10,2026-12-27,night
W05,2026-12-28,afternoon
W07,2026-12-28,afternoon
W08,2026-12-28,afternoon
W11,2026-12-28,afternoon
W12,2026-12-28,morning
W13,2026-12-28,morning
W03,2026-12-28,night
W09,2026-12-28,night
W05,2026-12-29,afternoon
W08,2026-12-29,afternoon
W11,2026-12-29,afternoon
W12,2026-12-29,afternoon
W02,2026-12-29,morning
W04,2026-12-29,morning
W13,2026-12-29,morning
W01,2026-12-29,night
W07,2026-12-29,night
W05,2026-12-30,afternoon
W08,2026-12-30,afternoon
W11,2026-12-30,afternoon
W13,2026-12-30,afternoon
W02,2026-12-30,morning
W04,2026-12-30,morning
W06,2026-12-30,morning
W10,2026-12-30,night
W12,2026-12-30,night
W05,2026-12-31,afternoon
W06,2026-12-31,afternoon
W08,2026-12-31,afternoon
W13,2026-12-31,afternoon
W03,2026-12-31,morning
W04,2026-12-31,morning
W09,2026-12-31,night
W11,2026-12-31,night
W03,2027-01-01,afternoon
W06,2027-01-01,afternoon
W01,2027-01-01,morning
W02,2027-01-01,morning
W04,2027-01-01,morning
W07,2027-01-01,morning
W08,2027-01-01,night
W13,2027-01-01,night
W02,2027-01-02,afternoon
W04,2027-01-02,afternoon
W07,2027-01-02,afternoon
W10,2027-01-02,afternoon
W01,2027-01-02,morning
W05,2027-01-02,morning
W12,2027-01-02,morning
W03,2027-01-02,night
W06,2027-01-02,night
W04,2027-01-03,afternoon
W07,2027-01-03,afternoon
W10,2027-01-03,afternoon
W11,2027-01-03,afternoon
W05,2027-01-03,morning
W09,2027-01-03,morning
W12,2027-01-03,morning
W01,2027-01-03,night
W02,2027-01-03,night
W04,2027-01-04,afternoon
W07,2027-01-04,afternoon
W10,2027-01-04,afternoon
W05,2027-01-04,morning
W09,2027-01-04,morning
W12,2027-01-04,morning
W13,2027-01-04,morning
W08,2027-01-04,night
W11,2027-01-04,night
W05,2027-01-05,afternoon
W07,2027-01-05,afternoon
W10,2027-01-05,afternoon
W03,2027-01-05,morning
W09,2027-01-05,morning
W12,2027-01-05,morning
W13,2027-01-05,morning
W04,2027-01-05,night
W06,2027-01-05,night
W05,2027-01-06,afternoon
W07,2027-01-06,afternoon
W09,2027-01-06,afternoon
W10,2027-01-06,afternoon
W03,2027-01-06,morning
W12,2027-01-06,morning
W13,2027-01-06,morning
W01,2027-01-06,night
W02,2027-01-06,night
