worker_id,date,shift_type
S04,2026-12-07,afternoon
S07,2026-12-07,afternoon
W02,2026-12-07,afternoon
W08,2026-12-07,afternoon
S01,2026-12-07,morning
S03,2026-12-07,morning
S05,2026-12-07,morning
S06,2026-12-07,morning
W01,2026-12-07,morning
W04,2026-12-07,morning
W07,2026-12-07,morning
W09,2026-12-07,morning
W10,2026-12-07,morning
W11,2026-12-07,morning
W12,2026-12-07,morning
S02,2026-12-07,night
W05,2026-12-07,night
W13,2026-12-07,night
S04,2026-12-08,afternoon
W03,2026-12-08,afternoon
W04,2026-12-08,afternoon
W06,2026-12-08,afternoon
W08,2026-12-08,afternoon
S01,2026-12-08,morning
S03,2026-12-08,morning
S05,2026-12-08,morning
S06,2026-12-08,morning
W09,2026-12-08,morning
W10,2026-12-08,morning
W11,2026-12-08,morning
W12,2026-12-08,morning
S07,2026-12-08,night
W02,2026-12-08,night
W07,2026-12-08,night
S04,2026-12-09,afternoon
W03,2026-12-09,afternoon
W04,2026-12-09,afternoon
W06,2026-12-09,afternoon
S01,2026-12-09,morning
S05,2026-12-09,morning
S06,2026-12-09,morning
W01,2026-12-09,morning
W11,2026-12-09,morning
S03,2026-12-09,night
W08,2026-12-09,night
W09,2026-12-09,night
S04,2026-12-10,afternoon
W03,2026-12-10,afternoon
W04,2026-12-10,afternoon
W06,2026-12-10,afternoon
W11,2026-12-10,afternoon
S01,2026-12-10,morning
S05,2026-12-10,morning
S06,2026-12-10,morning
W01,2026-12-10,morning
W10,2026-12-10,morning
W12,2026-12-10,morning
S02,2026-12-10,night
W05,2026-12-10,night
W13,2026-12-10,night
S04,2026-12-11,afternoon
S07,2026-12-11,afternoon
W03,2026-12-11,afternoon
W06,2026-12-11,afternoon
W07,2026-12-11,afternoon
S01,2026-12-11,morning
S06,2026-12-11,morning
W02,2026-12-11,morning
W10,2026-12-11,morning
W12,2026-12-11,morning
S05,2026-12-11,night
W04,2026-12-11,night
W11,2026-12-11,night
S03,2026-12-12,afternoon
S04,2026-12-12,afternoon
W06,2026-12-12,afternoon
W09,2026-12-12,afternoon
S01,2026-12-12,morning
W02,2026-12-12,morning
W08,2026-12-12,morning
W10,2026-12-12,morning
S07,2026-12-12,night
W03,2026-12-12,night
W07,2026-12-12,night
S03,2026-12-13,afternoon
W02,2026-12-13,afternoon
